編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPORMLOJNHLFFCA87CC,10,5.65,共有部分,鋼筋混凝土造,95年7月13日,十四層,
RPORMLOJNHLFFCA87CC,10,6.36,共有部分,鋼筋混凝土造,95年7月13日,十四層,
RPORMLOJNHLFFCA87CC,10,12.26,共有部分,鋼筋混凝土造,95年7月13日,十四層,
RPWNMLOJNHLFFDA38CC,,94.05,住家用,鋼筋混凝土造,,七層,
RPWNMLOJNHLFFDA38CC,,13.46,住家用,鋼筋混凝土造,,七層,
RPTOMLOJNHLFFDA18CC,2,41.11,住家用,鋼筋混凝土造,102年12月16日,十三層,
RPTOMLOJNHLFFDA18CC,2,23.11,見其他登記事項,鋼筋混凝土造,102年12月16日,十三層,
RPWOMLOJNHLFFDA48CC,32,157.27,見使用執照,鋼筋混凝土造,73年3月6日,七層,
RPXOMLOJNHLFFDA58CC,,148.93,住家用,鋼筋混凝土造,,七層,
RPXOMLOJNHLFFDA58CC,,22.94,共有部分,鋼筋混凝土造,,七層,
RPOPMLOJNHLFFDA77CC,21,166.75,住家用,鋼筋混凝土造,84年2月16日,十六層,
RPQPMLOJNHLFFDA97CC,10,23.00,見其他登記事項,鋼筋混凝土造,95年8月2日,十三層,
RPQPMLOJNHLFFDA97CC,10,5.36,共有部分,鋼筋混凝土造,95年8月2日,十三層,
RPQPMLOJNHLFFDA97CC,10,1.24,共有部分,鋼筋混凝土造,95年8月2日,十三層,
RPQPMLOJNHLFFDA97CC,10,6.99,共有部分,鋼筋混凝土造,95年8月2日,十三層,
RPSPMLOJNHLFFDA18CC,35,119.08,住家用,鋼筋混凝土造,70年9月7日,七層,
RPTPMLOJNHLFFDA28CC,,130.14,見使用執照,鋼筋混凝土造,,八層,
RPUPMLOJNHLFFDA38CC,21,356.96,商業用,鋼筋混凝土造,83年11月25日,十二層,
RPVNMLOJNHLFFBA08CC,7,47.66,住家用,鋼筋混凝土造,97年12月11日,十四層,
RPVNMLOJNHLFFBA08CC,7,21.19,共有部分,鋼筋混凝土造,97年12月11日,十四層,
RPSOMLOJNHLFFBA87CC,39,94.75,商業用,鋼筋混凝土造,66年1月27日,四層,
RPTOMLOJNHLFFBA97CC,43,47.74,住家用,鋼筋混凝土造,62年5月12日,五層,
RPWOMLOJNHLFFBA28CC,26,127.39,商業用,鋼筋混凝土造,78年12月30日,二十五層,
RPWOMLOJNHLFFBA28CC,26,35.40,共有部分,鋼筋混凝土造,78年12月30日,二十五層,
RPXOMLOJNHLFFBA38CC,6,52.61,住家用,鋼筋混凝土造,98年12月16日,十四層,
RPXOMLOJNHLFFBA38CC,6,26.03,見其他登記事項,鋼筋混凝土造,98年12月16日,十四層,
RPQNMLOJNHLFFEA87CC,29,160.95,商業用,鋼筋混凝土造,75年10月17日,十二層,
RPQNMLOJNHLFFEA87CC,29,13.87,共用部分,鋼筋混凝土造,75年10月17日,十二層,
RPQNMLOJNHLFFEA87CC,29,18.16,共用部分,鋼筋混凝土造,75年10月17日,十二層,
